WP5,wgt,PROJWT,FIELD_DATE,YEAR_CALENDAR,Q1,Q2,Q3,Q4,Q5A,Q5B,Q5C,Q6,Q7,Q8,Q9,Q10A,Q10B,Q11A,Q11B,Q11C,Q11D,Q11E,Q11F,Q11G,Q12,Q13,Q14A,Q14B,Q15A,Q15B,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,D1,Q29,Q30,WGM_Index,WGM_Indexr,ViewOfScience,Age,AgeCategories,Gender,Education,Urban_Rural,Household_Income,Regions_Report,Subjective_Income,WBI,EMP_2010
12,0.6602123687,35676.8292216606,5/1/2018,2018,3,3,1,2,1,1,97,1,1,1,1,2,1,1,2,3,2,3,2,2,3,3,3,2,2,3,2,98,2,2,5,3,3,1,3,4,2,1,1,1,2, ,2.4,1,99,61,3,2,1,2,2,15,2,4,2
12,1.4540062535,78572.1916935869,5/1/2018,2018,1,1,2,2,1,1,2,1,1,1,1,2,1,3,3,2,3,2,4,98,1,2,2,2,2,2,2,1,1,1,98,3,2,1,1,99,99,1,99,2, , ,3,2,2,41,2,1,2,2,2,15,2,4,1
12,0.3057421575,16521.8212416622,5/1/2018,2018,2,3,98,98,2,1,2,2,2,1,1,98,1,1,3,2,3,1,3,3,3,1,2,2,2,2,3,1,1,3,3,2,2,1,2,2,2,2, ,1,98, ,3.2,2,2,28,1,1,3,2,3,15,3,4,3
12,0.6111304912,33024.5224130525,5/1/2018,2018,4,2,1,2,1,1,2,2,2,2,1,1,2,2,2,1,2,1,2,3,1,2,1,1,2,1,1,1,1,2,3,1,1,1,1,1,1,2, ,2, , ,3.6,3,1,32,2,1,3,2,5,15,1,4,1
12,0.7937833845,42894.7950535276,5/1/2018,2018,2,1,1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,98,1,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,2, ,2, , ,3.8,3,1,23,1,1,3,2,1,15,2,4,1
12,0.855233438,46215.4584751593,5/1/2018,2018,4,3,2,2,1,1,97,2,2,1,2,1,1,3,2,2,98,2,2,2,3,3,3,3,3,3,98,1,98,2,2,3,98,98, , , ,2, ,1,1,2,2.2,1,99,72,3,1,2,1,1,15,3,4,6
12,1.5007216613,81096.618237528,5/1/2018,2018,3,3,1,2,1,2,97,2,2,1,1,2,2,1,3,2,2,1,4,3,1,2,2,2,2,2,1,1,1,1,3,2,1,1,1,2,2,2, ,2, , ,3,2,1,39,2,2,1,1,1,15,3,4,6
12,0.3259340074,17612.9567838333,5/1/2018,2018,2,2,1,2,2,1,1,2,2,1,1,1,1,1,3,1,3,3,2,3,1,1,1,3,2,2,98,1,1,2,3,1,2,1,1,2,1,2, ,1,98, ,3.4,2,99,41,2,2,3,2,1,15,2,4,1
12,1.8210885046,98408.7343051991,5/1/2018,2018,3,2,1,2,2,1,2,2,1,1,1,1,1,2,4,3,3,1,1,1,2,2,2,2,2,2,2,1,1,98,3,2,1,1,2,3,3,1,98,1,98, ,2.8,2,2,67,3,2,2,2,1,15,2,4,6
12,0.3057421575,16521.8212416622,5/1/2018,2018,1,1,1,2,1,1,1,2,2,1,1,1,1,3,1,1,2,1,2,4,1,1,1,2,2,2,1,1,1,1,3,1,1,1,1,1,1,2, ,1,1,97,3.6,3,1,58,3,2,3,1,5,15,1,4,1
